type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.746830875	73.134944573	624.0						
T	33.746850135	73.134935924	624.1						
T	33.746857286	73.134928754	624.2						
T	33.746881518	73.134915292	624.4						
T	33.746888888	73.134908172	624.5						
T	33.746901288	73.134896326	624.6						
T	33.746925867	73.134867189	624.9						
T	33.746938058	73.134849897	625.1						
T	33.746942927	73.134829427	625.2						
T	33.746950221	73.134809098	625.4						
T	33.746957372	73.134788678	625.7						
T	33.746959482	73.134765248	625.9						
T	33.746959332	73.134754765	625.9						
T	33.746961442	73.134731335	626.1						
T	33.746962865	73.134671183	626.6						
T	33.746958984	73.134591893	627.1						
T	33.746953235	73.134568032	627.2						
T	33.746945031	73.134536320	627.3						
T	33.746929444	73.134501776	627.5						
T	33.746916944	73.134483105	627.5						
T	33.746904873	73.134472320	627.5						
T	33.746897826	73.134472095	627.5						
T	33.746883830	73.134471662	627.4						
T	33.746865248	73.134473668	627.2						
T	33.746856023	73.134478537	627.2						
T	33.746842181	73.134483251	627.0						
T	33.746828331	73.134485378	626.9						
T	33.746800689	73.134484491	626.8						
T	33.746789148	73.134478992	626.7						
T	33.746770347	73.134475737	626.6						
T	33.746748883	73.134464668	626.5						
T	33.746695615	73.134442033	626.2						
T	33.746685991	73.134436567	626.2						
T	33.746659695	73.134420353	626.1						
T	33.746643035	73.134404599	626.0						
T	33.746628815	73.134394017	626.0						
T	33.746617084	73.134376051	626.0						
T	33.746617224	73.134366049	626.1						
T	33.746608186	73.134348276	626.1						
T	33.746601391	73.134318063	626.1						
T	33.746598855	73.134267917	626.2						
T	33.746598904	73.134222877	626.4						
T	33.746603333	73.134195387	626.5						
T	33.746605219	73.134165341	626.6						
T	33.746614105	73.134140345	626.5						
T	33.746618589	73.134127833	626.5						
T	33.746620817	73.134120320	626.5						
T	33.746629752	73.134102781	626.5						
T	33.746640951	73.134090236	626.6						
T	33.746647657	73.134082697	626.6						
T	33.746667930	73.134075130	626.7						
T	33.746686119	73.134072581	626.8						
T	33.746707333	73.134072537	627.0						
T	33.746726307	73.134072496	627.2						
T	33.746745543	73.134080068	627.3						
T	33.746771322	73.134087673	627.6						
T	33.746799687	73.134102974	627.8						
T	33.746852186	73.134138954	628.3						
T	33.746881189	73.134164829	628.5						
T	33.746910561	73.134201195	628.6						
T	33.746920220	73.134211633	628.7						
T	33.746935262	73.134245484	628.6						
T	33.746942987	73.134268949	628.6						
T	33.746951300	73.134308091	628.5						
T	33.746953850	73.134347078	628.4						
T	33.746953837	73.134357456	628.4						
T	33.746948838	73.134383244	628.3						
T	33.746948823	73.134396208	628.2						
T	33.746938946	73.134419211	628.1						
T	33.746931563	73.134426726	628.0						
T	33.746921719	73.134452241	627.8						
T	33.746907209	73.134462062	627.6						
T	33.746893219	73.134477124	627.4						
T	33.746886223	73.134476904	627.4						
T	33.746869803	73.134466067	627.3						
T	33.746858099	73.134457977	627.3						
T	33.746841517	73.134426596	627.3						
T	33.746817921	73.134382300	627.3						
T	33.746810412	73.134364106	627.3						
T	33.746790773	73.134330275	627.3						
T	33.746759193	73.134258156	627.3						
T	33.746749455	73.134230004	627.4						
T	33.746725115	73.134168777	627.4						
T	33.746702645	73.134075072	627.0						
T	33.746692791	73.134049867	626.8						
T	33.746687514	73.134014620	626.6						
T	33.746687057	73.133984410	626.5						
T	33.746686737	73.133951686	626.4						
T	33.746693683	73.133926379	626.4						
T	33.746695960	73.133893568	626.3						
T	33.746695934	73.133883487	626.3						
T	33.746705375	73.133850457	626.6						
T	33.746712479	73.133827530	626.7						
T	33.746719357	73.133794504	626.9						
T	33.746736155	73.133738204	627.3						
T	33.746752792	73.133663982	627.7						
T	33.746757316	73.133643523	627.9						
T	33.746763989	73.133605225	628.1						
T	33.746771036	73.133559143	628.2						
T	33.746774867	73.133516001	628.4						
T	33.746774663	73.133505915	628.4						
T	33.746773847	73.133465600	628.5						
T	33.746773390	73.133432788	628.5						
T	33.746770911	73.133405086	628.6						
T	33.746763817	73.133387846	628.6						
T	33.746759000	73.133357826	628.6						
T	33.746744821	73.133315913	628.6						
T	33.746740099	73.133301130	628.5						
T	33.746732973	73.133271430	628.5						
T	33.746716484	73.133232527	628.4						
T	33.746709433	73.133223100	628.3						
T	33.746700043	73.133213914	628.2						
T	33.746685799	73.133207833	628.1						
T	33.746681102	73.133208298	628.1						
T	33.746671720	73.133204208	628.0						
T	33.746650964	73.133206130	627.9						
T	33.746637084	73.133209966	627.8						
T	33.746620941	73.133219005	627.7						
T	33.746611807	73.133227322	627.6						
T	33.746611879	73.133234759	627.6						
T	33.746607469	73.133252527	627.6						
T	33.746607584	73.133264923	627.6						
T	33.746616812	73.133276553	627.6						
T	33.746626081	73.133290691	627.7						
